Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas sp. PRT-SC03","1527299.3","JPUQ01000200","fig|1527299.3.peg.993","JI57_04755",,"PATRIC.1527299.3.JPUQ01000200.CDS.10186.11079.rev","PATRIC","CDS",10186,11079,894,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,297,,"Haloalkane dehalogenase-like protein",
"Desulfatitalea sp. BRH_c12","1629708.9","LADR01000089","fig|1629708.9.peg.5521","VR64_25015",,"PATRIC.1629708.9.LADR01000089.CDS.60218.61120.fwd","PATRIC","CDS",60218,61120,903,"+",,,"PGF_00010918",,300,,"Haloalkane dehalogenase-like protein",
"Hyphomonas sp. BRH_c22","1629710.3","LADU01000017","fig|1629710.3.peg.2777","VR74_02485",,"PATRIC.1629710.3.LADU01000017.CDS.27050.27988.fwd","PATRIC","CDS",27050,27988,939,"+",,"PLF_85_00014154","PGF_08225224",,312,,"hypothetical protein",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000029","fig|1629713.5.peg.4850","VR65_10445",,"PATRIC.1629713.5.LADS01000029.CDS.112598.113479.fwd","PATRIC","CDS",112598,113479,882,"+",,,"PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Opitutaceae bacterium BACL24 MAG-120322-bin51","1655636.4","LIDO01000204","fig|1655636.4.peg.2295","ABS34_10460",,"PATRIC.1655636.4.LIDO01000204.CDS.1880.2791.fwd","PATRIC","CDS",1880,2791,912,"+",,,"PGF_00010918",,303,,"Haloalkane dehalogenase-like protein",
"Colwellia psychrerythraea 34H","167879.5","NC_003910","fig|167879.5.peg.1954","CPS_2154","VBIColPsy94388_1954","PATRIC.167879.5.NC_003910.CDS.2260297.2261223.fwd","PATRIC","CDS",2260297,2261223,927,"+","FIG00004791","PLF_28228_00001643","PGF_00010918","YP_268879.1",308,,"Haloalkane dehalogenase-like protein",
"Colwellia sp. MT2012","1718921.3","LJVG01000038","fig|1718921.3.peg.2392",,,"PATRIC.1718921.3.LJVG01000038.CDS.248751.249689.rev","PATRIC","CDS",248751,249689,939,"-","FIG00004791","PLF_28228_00001643","PGF_00010918",,312,,"Haloalkane dehalogenase-like protein",
"Colwellia sp. TT2012","1720342.3","LJYX01000016","fig|1720342.3.peg.3503",,,"PATRIC.1720342.3.LJYX01000016.CDS.24687.25613.rev","PATRIC","CDS",24687,25613,927,"-","FIG00004791","PLF_28228_00001643","PGF_00010918",,308,,"Haloalkane dehalogenase-like protein",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.2863","DP2632","VBIDesPsy67261_2863","PATRIC.177439.6.NC_006138.CDS.2993777.2994643.rev","PATRIC","CDS",2993777,2994643,867,"-","FIG00004791",,"PGF_00010918","YP_066368.1",288,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. MARI","1810941.3","LUEA01000390","fig|1810941.3.peg.1347",,,"PATRIC.1810941.3.LUEA01000390.CDS.1572.2471.fwd","PATRIC","CDS",1572,2471,900,"+","FIG00004791","PLF_67572_00000480","PGF_00010918",,299,,"Haloalkane dehalogenase-like protein",
"bacterium SPGG8","1842518.4","LXTE01000035","fig|1842518.4.peg.1781",,,"PATRIC.1842518.4.LXTE01000035.CDS.1732.2625.fwd","PATRIC","CDS",1732,2625,894,"+",,,"PGF_01830967",,297,,"Haloalkane dehalogenase 2 (EC 3.8.1.5)","GO:0018786|haloalkane dehalogenase activity"
"Proteobacteria bacterium SPGG4","1842524.5","LXTI01000087","fig|1842524.5.peg.1113",,,"PATRIC.1842524.5.LXTI01000087.CDS.291.1193.fwd","PATRIC","CDS",291,1193,903,"+",,,"PGF_00010918",,300,,"Haloalkane dehalogenase-like protein",
"Shewanella sp. SACH","1873135.3","MPDG01000002","fig|1873135.3.peg.1403","BM607_06615",,"PATRIC.1873135.3.MPDG01000002.CDS.419762.420670.rev","PATRIC","CDS",419762,420670,909,"-","FIG00004791","PLF_22_00001688","PGF_00010918",,302,,"Haloalkane dehalogenase-like protein",
"Paenibacillus sp. FSL H7-0331 strain FSL H7-0331","1920421.3","MRTH01000078","fig|1920421.3.peg.7986","BK127_40655",,"PATRIC.1920421.3.MRTH01000078.CDS.2788.3678.rev","PATRIC","CDS",2788,3678,891,"-",,"PLF_44249_00013255","PGF_06574151",,296,,"Hydrolase, alpha/beta fold family",
"Psychromonas sp. CD1","1979839.3","NDFH01000003","fig|1979839.3.peg.712",,,"PATRIC.1979839.3.NDFH01000003.CDS.450934.451833.rev","PATRIC","CDS",450934,451833,900,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,299,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. psych-6C06","2058089.3","PIZM01000001","fig|2058089.3.peg.604","CW745_02975",,"PATRIC.2058089.3.PIZM01000001.CDS.675188.676069.rev","PATRIC","CDS",675188,676069,882,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. MB-3u-54","2058319.3","PJBP01000181","fig|2058319.3.peg.636","CXF72_17565",,"PATRIC.2058319.3.PJBP01000181.CDS.72387.73268.fwd","PATRIC","CDS",72387,73268,882,"+","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. Urea-02u-13","2058326.3","PJBZ01000049","fig|2058326.3.peg.1815","CXF74_07415",,"PATRIC.2058326.3.PJBZ01000049.CDS.2898.3779.rev","PATRIC","CDS",2898,3779,882,"-","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Shewanella psychrophila strain WP2","225848.8","CP014782","fig|225848.8.peg.1997","Sps_01976",,"PATRIC.225848.8.CP014782.CDS.2224160.2225047.rev","PATRIC","CDS",2224160,2225047,888,"-","FIG00004791","PLF_22_00001688","PGF_00010918",,295,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. B3M02","2267226.3","QOCB01000032","fig|2267226.3.peg.1936","DS885_04540",,"PATRIC.2267226.3.QOCB01000032.CDS.38870.39751.fwd","PATRIC","CDS",38870,39751,882,"+","FIG00004791","PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Salinibacterium sp. UTAS2018","2508880.3","CP035375","fig|2508880.3.peg.321","ESZ53_01600",,"PATRIC.2508880.3.CP035375.CDS.342261.345089.rev","PATRIC","CDS",342261,345089,2829,"-",,"PLF_235888_00001160","PGF_01964713",,942,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. RZ5","2555642.3","SNUB01000001","fig|2555642.3.peg.141","E2R67_00690",,"PATRIC.2555642.3.SNUB01000001.CDS.149684.150565.fwd","PATRIC","CDS",149684,150565,882,"+",,"PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. RZ22","2555643.3","SNUW01000005","fig|2555643.3.peg.1633","E2R68_05335",,"PATRIC.2555643.3.SNUW01000005.CDS.29989.30870.rev","PATRIC","CDS",29989,30870,882,"-",,"PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. L1A2","2686356.3","WUAG01000001","fig|2686356.3.peg.1865",,,"PATRIC.2686356.3.WUAG01000001.CDS.2137050.2137931.fwd","PATRIC","CDS",2137050,2137931,882,"+",,"PLF_67572_00000480","PGF_00010918",,293,,"Haloalkane dehalogenase-like protein",
"Colwellia psychrerythraea strain Glo_19","28229.11","PIWA01000099","fig|28229.11.peg.6377",,,"PATRIC.28229.11.PIWA01000099.CDS.2686.3615.rev","PATRIC","CDS",2686,3615,930,"-","FIG00004791","PLF_28228_00001643","PGF_00010918",,309,,"Haloalkane dehalogenase-like protein",
"Colwellia psychrerythraea GAB14E","28229.3","JQEC01000051","fig|28229.3.peg.3652","GAB14E_3730",,"PATRIC.28229.3.JQEC01000051.CDS.20394.21308.rev","PATRIC","CDS",20394,21308,915,"-","FIG00004791","PLF_28228_00001643","PGF_00010918","KGJ89852.1",304,,"Haloalkane dehalogenase-like protein",
"Colwellia psychrerythraea ND2E","28229.4","JQED01000009","fig|28229.4.peg.1285","ND2E_2259",,"PATRIC.28229.4.JQED01000009.CDS.13450.14376.rev","PATRIC","CDS",13450,14376,927,"-","FIG00004791","PLF_28228_00001643","PGF_00010918","KGJ93530.1",308,,"Haloalkane dehalogenase-like protein",
"Colwellia psychrerythraea strain 38_32_sub10_T18","28229.6","MAAF01000096","fig|28229.6.peg.1065","A9Q75_15940",,"PATRIC.28229.6.MAAF01000096.CDS.28800.29726.fwd","PATRIC","CDS",28800,29726,927,"+","FIG00004791","PLF_28228_00001643","PGF_00010918",,308,,"Haloalkane dehalogenase-like protein",
"Paenibacillus rhizosphaerae strain FSL R5-0378","297318.3","MRTP01000008","fig|297318.3.peg.7265","BK138_23945",,"PATRIC.297318.3.MRTP01000008.CDS.96083.97021.rev","PATRIC","CDS",96083,97021,939,"-",,"PLF_44249_00019083","PGF_00072034",,312,,"haloalkane dehalogenase( EC:3.8.1.5 )","GO:0018786|haloalkane dehalogenase activity"
"Photobacterium profundum SS9","298386.8","NC_006370","fig|298386.8.peg.1592","PBPRA1463","VBIPhoPro109272_1592","PATRIC.298386.8.NC_006370.CDS.1654662.1655573.fwd","PATRIC","CDS",1654662,1655573,912,"+","FIG00004791","PLF_657_00008049","PGF_00010918","YP_129676.1",303,,"Haloalkane dehalogenase-like protein",
"Photobacterium profundum 3TCK","314280.5","NZ_CH724135","fig|314280.5.peg.2479","P3TCK_18369","VBIPhoPro77067_2479","PATRIC.314280.5.NZ_CH724135.CDS.1108806.1109717.fwd","PATRIC","CDS",1108806,1109717,912,"+","FIG00004791","PLF_657_00008049","PGF_00010918","ZP_01221858.1",303,,"Haloalkane dehalogenase-like protein",
"Psychromonas sp. CNPT3","314282.5","NZ_CH902574","fig|314282.5.peg.1058","PCNPT3_07190","VBIPsySp112629_1058","PATRIC.314282.5.NZ_CH902574.CDS.1412955.1413848.rev","PATRIC","CDS",1412955,1413848,894,"-","FIG00004791","PLF_67572_00000480","PGF_00010918","ZP_01216824.1",297,,"Haloalkane dehalogenase-like protein",
"Psychromonas ingrahamii 37","357804.7","NC_008709","fig|357804.7.peg.2196","Ping_1998","VBIPsyIng103130_2196","PATRIC.357804.7.NC_008709.CDS.2429632.2430513.fwd","PATRIC","CDS",2429632,2430513,882,"+","FIG00004791","PLF_67572_00000480","PGF_00010918","YP_943362.1",293,,"Haloalkane dehalogenase-like protein",
"Shewanella sediminis HAW-EB3","425104.7","NC_009831","fig|425104.7.peg.1607","Ssed_1511","VBISheSed62411_1607","PATRIC.425104.7.NC_009831.CDS.1797987.1798874.fwd","PATRIC","CDS",1797987,1798874,888,"+","FIG00004791","PLF_22_00001688","PGF_00010918","YP_001473250.1",295,,"Haloalkane dehalogenase-like protein",
"Shewanella halifaxensis HAW-EB4","458817.8","NC_010334","fig|458817.8.peg.2963","Shal_2819","VBISheHal24697_2963","PATRIC.458817.8.NC_010334.CDS.3427732.3428637.rev","PATRIC","CDS",3427732,3428637,906,"-","FIG00004791","PLF_22_00001688","PGF_00010918","YP_001675030.1",301,,"Haloalkane dehalogenase-like protein",
"Colwellia sp. MT41","58049.4","CP013145","fig|58049.4.peg.2246","CMT41_10380",,"PATRIC.58049.4.CP013145.CDS.2428757.2429695.rev","PATRIC","CDS",2428757,2429695,939,"-","FIG00004791","PLF_28228_00001643","PGF_00010918",,312,,"Haloalkane dehalogenase-like protein",
"Shewanella violacea DSS12","637905.5","NC_014012","fig|637905.5.peg.2933","SVI_3044","VBISheVio92117_2933","PATRIC.637905.5.NC_014012.CDS.3450811.3451698.rev","PATRIC","CDS",3450811,3451698,888,"-","FIG00004791","PLF_22_00001688","PGF_00010918","YP_003557793.1",295,"dhaA","Haloalkane dehalogenase-like protein",
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3340","AKG98_3345",,"PATRIC.756698.3.LOCN01000006.CDS.35594.36472.fwd","PATRIC","CDS",35594,36472,879,"+","FIG00004791","PLF_58050_00003344","PGF_00010918",,292,,"Haloalkane dehalogenase-like protein",
"Colwellia demingiae strain ACAM 459","89401.3","VOLT01000001","fig|89401.3.peg.1295","ESZ36_01125",,"PATRIC.89401.3.VOLT01000001.CDS.246221.247135.rev","PATRIC","CDS",246221,247135,915,"-",,"PLF_28228_00001643","PGF_00010918",,304,,"Haloalkane dehalogenase-like protein",
"Psychroserpens damuponensis JCM 17632","943936.3","JXJO01000016","fig|943936.3.peg.1711",,,"PATRIC.943936.3.JXJO01000016.CDS.357333.358358.rev","PATRIC","CDS",357333,358358,1026,"-",,"PLF_49277_00004435","PGF_03053249",,341,,"hypothetical protein",
