Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000180","fig|2026735.148.peg.2092","DRH30_10130",,"PATRIC.2026735.148.QMMA01000180.CDS.5138.6166.fwd","PATRIC","CDS",5138,6166,1029,"+",,,,,342,,"hypothetical protein",
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000224","fig|2026735.148.peg.2404","DRH30_11555",,"PATRIC.2026735.148.QMMA01000224.CDS.1360.2466.fwd","PATRIC","CDS",1360,2466,1107,"+","FIG00638284",,,,368,,"hypothetical protein",
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000266","fig|2026735.148.peg.2694","DRH30_12935",,"PATRIC.2026735.148.QMMA01000266.CDS.2775.3755.rev","PATRIC","CDS",2775,3755,981,"-",,,,,326,,"hypothetical protein",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000022","fig|2026735.166.peg.769","DRH90_03490",,"PATRIC.2026735.166.QMMS01000022.CDS.4848.5870.rev","PATRIC","CDS",4848,5870,1023,"-",,,,,340,,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","GO:0008460|dTDP-glucose 4,6-dehydratase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000228","fig|2026735.166.peg.3609","DRH90_16005",,"PATRIC.2026735.166.QMMS01000228.CDS.5817.6851.fwd","PATRIC","CDS",5817,6851,1035,"+",,,,,344,,"hypothetical protein",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000266","fig|2026735.166.peg.3900","DRH90_17190",,"PATRIC.2026735.166.QMMS01000266.CDS.2691.3713.rev","PATRIC","CDS",2691,3713,1023,"-",,,,,340,,"Dihydroflavonol-4-reductase (EC 1.1.1.219)","GO:0045552|dihydrokaempferol 4-reductase activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000388","fig|2026735.166.peg.4699","DRH90_20585",,"PATRIC.2026735.166.QMMS01000388.CDS.636.1670.rev","PATRIC","CDS",636,1670,1035,"-",,,"PGF_00024362",,344,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000001","fig|2026799.183.peg.27","DRP71_00130",,"PATRIC.2026799.183.QNAI01000001.CDS.25055.26047.rev","PATRIC","CDS",25055,26047,993,"-","FIG00030688",,"PGF_03056683",,330,,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","GO:0008460|dTDP-glucose 4,6-dehydratase activity"
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000004","fig|2026799.183.peg.319","DRP71_01460",,"PATRIC.2026799.183.QNAI01000004.CDS.16427.17464.rev","PATRIC","CDS",16427,17464,1038,"-","FIG00029869",,"PGF_00024362",,345,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000170","fig|2026799.183.peg.3124","DRP71_14415",,"PATRIC.2026799.183.QNAI01000170.CDS.3182.4213.rev","PATRIC","CDS",3182,4213,1032,"-","FIG00029869",,,,343,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000019","fig|2026809.16.peg.1325","DRQ88_06585",,"PATRIC.2026809.16.QNFX01000019.CDS.35704.36828.fwd","PATRIC","CDS",35704,36828,1125,"+",,,"PGF_00864472",,374,,"Dihydroflavonol-4-reductase (EC 1.1.1.219)","GO:0045552|dihydrokaempferol 4-reductase activity"
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000054","fig|2026809.16.peg.2170","DRQ88_10770",,"PATRIC.2026809.16.QNFX01000054.CDS.7542.8531.fwd","PATRIC","CDS",7542,8531,990,"+","FIG00029869",,"PGF_00024362",,329,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000002","fig|2268124.3.peg.2192","OZSIB_2185",,"PATRIC.2268124.3.QOQW01000002.CDS.147391.148407.rev","PATRIC","CDS",147391,148407,1017,"-","FIG00005117",,"PGF_00024444",,338,,"NAD-dependent epimerase/dehydratase",
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000007","fig|2268124.3.peg.3551","OZSIB_3471",,"PATRIC.2268124.3.QOQW01000007.CDS.145038.146048.fwd","PATRIC","CDS",145038,146048,1011,"+","FIG00022300",,"PGF_01033123",,336,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000007","fig|2268124.3.peg.3590","OZSIB_3512",,"PATRIC.2268124.3.QOQW01000007.CDS.194216.195253.rev","PATRIC","CDS",194216,195253,1038,"-",,,,,345,,"hypothetical protein",
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000016","fig|2268124.3.peg.398","OZSIB_0381",,"PATRIC.2268124.3.QOQW01000016.CDS.33667.34719.rev","PATRIC","CDS",33667,34719,1053,"-","FIG00029869",,"PGF_00024362",,350,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.4056","EBB79_18945",,"PATRIC.2483033.3.CP033219.CDS.3886874.3887860.rev","PATRIC","CDS",3886874,3887860,987,"-",,,,,328,,"FIG036672: Nucleoside-diphosphate-sugar epimerase",
"Salinibacterium sp. UTAS2018","2508880.3","CP035375","fig|2508880.3.peg.320","ESZ53_01595",,"PATRIC.2508880.3.CP035375.CDS.341278.342264.rev","PATRIC","CDS",341278,342264,987,"-",,"PLF_235888_00002341","PGF_00024362",,328,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000015","fig|254787.3.peg.2964","FQ154_13800",,"PATRIC.254787.3.VOBL01000015.CDS.30236.31264.fwd","PATRIC","CDS",30236,31264,1029,"+",,,"PGF_00024362",,342,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000015","fig|254787.3.peg.2967","FQ154_13815",,"PATRIC.254787.3.VOBL01000015.CDS.33614.34132.fwd","PATRIC","CDS",33614,34132,519,"+",,,"PGF_00024362",,172,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000099","fig|282669.3.peg.966",,,"PATRIC.282669.3.CZJV01000099.CDS.50761.52089.rev","PATRIC","CDS",50761,52089,1329,"-","FIG00029869","PLF_497_00011085","PGF_00024362",,442,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.3902","Cagg_3781","VBIChlAgg85409_3902","PATRIC.326427.4.NC_011831.CDS.4613759.4614682.rev","PATRIC","CDS",4613759,4614682,924,"-","FIG00002924","PLF_1107_00001283","PGF_00026431","YP_002465053.1",307,,"Nucleoside-diphosphate-sugar epimerases",
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.557","Cagg_0549","VBIChlAgg85409_0557","PATRIC.326427.4.NC_011831.CDS.667558.668547.rev","PATRIC","CDS",667558,668547,990,"-","FIG00029869","PLF_1107_00001211","PGF_00024362","YP_002461924.1",329,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.1245","Isop_0964","VBIIsoPal14453_1245","PATRIC.575540.3.NC_014962.CDS.1370243.1371229.rev","PATRIC","CDS",1370243,1371229,987,"-","FIG00022300",,"PGF_01033123","YP_004178102.1",328,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.1343","Isop_1049","VBIIsoPal14453_1343","PATRIC.575540.3.NC_014962.CDS.1507746.1508882.rev","PATRIC","CDS",1507746,1508882,1137,"-","FIG00029869",,"PGF_00024362","YP_004178186.1",378,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.1392","Isop_1088","VBIIsoPal14453_1392","PATRIC.575540.3.NC_014962.CDS.1562636.1563628.fwd","PATRIC","CDS",1562636,1563628,993,"+","FIG00030688",,"PGF_03056683","YP_004178225.1",330,,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","GO:0008460|dTDP-glucose 4,6-dehydratase activity"
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.2493","Isop_1955","VBIIsoPal14453_2493","PATRIC.575540.3.NC_014962.CDS.2843270.2844412.rev","PATRIC","CDS",2843270,2844412,1143,"-","FIG00638284",,"PGF_04316771","YP_004179084.1",380,,"Hopanoid-associated sugar epimerase HpnA",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.3378","Isop_2613","VBIIsoPal14453_3378","PATRIC.575540.3.NC_014962.CDS.3777586.3778662.rev","PATRIC","CDS",3777586,3778662,1077,"-","FIG00638284",,"PGF_09802441","YP_004179732.1",358,,"Putative oxidoreductase",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.4277","Isop_3340","VBIIsoPal14453_4277","PATRIC.575540.3.NC_014962.CDS.4886896.4887741.fwd","PATRIC","CDS",4886896,4887741,846,"+",,,,"YP_004180451.1",281,,"Oxidoreductase",
"Oleispira antarctica RB-8","698738.7","FO203512","fig|698738.7.peg.1805","OLEAN_C17430",,"PATRIC.698738.7.FO203512.CDS.1907816.1908841.rev","PATRIC","CDS",1907816,1908841,1026,"-",,,"PGF_09891220",,341,,"hypothetical protein",
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3342","AKG98_3347",,"PATRIC.756698.3.LOCN01000006.CDS.38240.39307.fwd","PATRIC","CDS",38240,39307,1068,"+","FIG00029869","PLF_58050_00003304","PGF_00024362",,355,,"NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster",
