Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Arthrobacter sp. L77","1496689.3","JWSU01000006","fig|1496689.3.peg.2680",,,"PATRIC.1496689.3.JWSU01000006.CDS.650362.651348.fwd","PATRIC","CDS",650362,651348,987,"+","FIG00152177","PLF_1663_00001215","PGF_00420609",,328,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. PRT-SC03","1527299.3","JPUQ01000200","fig|1527299.3.peg.994","JI57_04760",,"PATRIC.1527299.3.JPUQ01000200.CDS.11079.12173.rev","PATRIC","CDS",11079,12173,1095,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,364,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Desulfatitalea sp. BRH_c12","1629708.9","LADR01000089","fig|1629708.9.peg.5520","VR64_25010",,"PATRIC.1629708.9.LADR01000089.CDS.59184.60224.fwd","PATRIC","CDS",59184,60224,1041,"+",,,"PGF_00420609",,346,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000039","fig|1629713.5.peg.2518","VR65_14505",,"PATRIC.1629713.5.LADS01000039.CDS.161277.162314.fwd","PATRIC","CDS",161277,162314,1038,"+",,,"PGF_00420609",,345,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Opitutaceae bacterium BACL24 MAG-120322-bin51","1655636.4","LIDO01000204","fig|1655636.4.peg.2294","ABS34_10455",,"PATRIC.1655636.4.LIDO01000204.CDS.844.1887.fwd","PATRIC","CDS",844,1887,1044,"+",,,"PGF_00420609",,347,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia psychrerythraea 34H","167879.5","NC_003910","fig|167879.5.peg.1953","CPS_2153","VBIColPsy94388_1953","PATRIC.167879.5.NC_003910.CDS.2259245.2260294.fwd","PATRIC","CDS",2259245,2260294,1050,"+","FIG00152177","PLF_28228_00001465","PGF_00420609","YP_268878.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter sp. ERGS1:01","1704044.3","CP012479","fig|1704044.3.peg.2281","AL755_14775",,"PATRIC.1704044.3.CP012479.CDS.2398396.2399526.fwd","PATRIC","CDS",2398396,2399526,1131,"+","FIG00152177","PLF_1663_00001215","PGF_00420609",,376,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia sp. MT2012","1718921.3","LJVG01000038","fig|1718921.3.peg.2393",,,"PATRIC.1718921.3.LJVG01000038.CDS.249683.250732.rev","PATRIC","CDS",249683,250732,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia sp. TT2012","1720342.3","LJYX01000016","fig|1720342.3.peg.3504",,,"PATRIC.1720342.3.LJYX01000016.CDS.25607.26656.rev","PATRIC","CDS",25607,26656,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.798","DP0741","VBIDesPsy67261_0798","PATRIC.177439.6.NC_006138.CDS.835818.836714.fwd","PATRIC","CDS",835818,836714,897,"+","FIG00152177",,"PGF_00420609","YP_064477.1",298,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. MARI","1810941.3","LUEA01000390","fig|1810941.3.peg.1346",,,"PATRIC.1810941.3.LUEA01000390.CDS.529.1578.fwd","PATRIC","CDS",529,1578,1050,"+","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Shewanella sp. SACH","1873135.3","MPDG01000002","fig|1873135.3.peg.1405","BM607_06620",,"PATRIC.1873135.3.MPDG01000002.CDS.420841.421890.rev","PATRIC","CDS",420841,421890,1050,"-","FIG00152177","PLF_22_00001537","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. CD1","1979839.3","NDFH01000003","fig|1979839.3.peg.713",,,"PATRIC.1979839.3.NDFH01000003.CDS.451827.452876.rev","PATRIC","CDS",451827,452876,1050,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. psych-6C06","2058089.3","PIZM01000001","fig|2058089.3.peg.605","CW745_02980",,"PATRIC.2058089.3.PIZM01000001.CDS.676075.677124.rev","PATRIC","CDS",676075,677124,1050,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. MB-3u-54","2058319.3","PJBP01000181","fig|2058319.3.peg.635","CXF72_17560",,"PATRIC.2058319.3.PJBP01000181.CDS.71336.72385.fwd","PATRIC","CDS",71336,72385,1050,"+","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. Urea-02u-13","2058326.3","PJBZ01000049","fig|2058326.3.peg.1816","CXF74_07420",,"PATRIC.2058326.3.PJBZ01000049.CDS.3785.4834.rev","PATRIC","CDS",3785,4834,1050,"-","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter sp. I3","218158.3","AZSB01000482","fig|218158.3.peg.3897",,"VBIArtSp13275_3897","PATRIC.218158.3.AZSB01000482.CDS.14583.15521.rev","PATRIC","CDS",14583,15521,939,"-","FIG00152177","PLF_1663_00001215","PGF_00420609",,312,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Shewanella psychrophila strain WP2","225848.8","CP014782","fig|225848.8.peg.1998","Sps_01977",,"PATRIC.225848.8.CP014782.CDS.2225160.2226209.rev","PATRIC","CDS",2225160,2226209,1050,"-","FIG00152177","PLF_22_00001537","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. B3M02","2267226.3","QOCB01000032","fig|2267226.3.peg.1935","DS885_04535",,"PATRIC.2267226.3.QOCB01000032.CDS.37819.38868.fwd","PATRIC","CDS",37819,38868,1050,"+","FIG00152177","PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000015","fig|254787.3.peg.2962","FQ154_13790",,"PATRIC.254787.3.VOBL01000015.CDS.26629.27654.fwd","PATRIC","CDS",26629,27654,1026,"+",,,"PGF_00420609",,341,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. RZ5","2555642.3","SNUB01000001","fig|2555642.3.peg.140","E2R67_00685",,"PATRIC.2555642.3.SNUB01000001.CDS.148633.149682.fwd","PATRIC","CDS",148633,149682,1050,"+",,"PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. RZ22","2555643.3","SNUW01000005","fig|2555643.3.peg.1634","E2R68_05340",,"PATRIC.2555643.3.SNUW01000005.CDS.30872.32032.rev","PATRIC","CDS",30872,32032,1161,"-",,"PLF_67572_00000175","PGF_00420609",,386,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. L1A2","2686356.3","WUAG01000001","fig|2686356.3.peg.1864",,,"PATRIC.2686356.3.WUAG01000001.CDS.2135999.2137048.fwd","PATRIC","CDS",2135999,2137048,1050,"+",,"PLF_67572_00000175","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia psychrerythraea strain Glo_19","28229.11","PIWA01000099","fig|28229.11.peg.6378",,,"PATRIC.28229.11.PIWA01000099.CDS.3609.4658.rev","PATRIC","CDS",3609,4658,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia psychrerythraea GAB14E","28229.3","JQEC01000051","fig|28229.3.peg.3653","GAB14E_3731",,"PATRIC.28229.3.JQEC01000051.CDS.21311.22360.rev","PATRIC","CDS",21311,22360,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609","KGJ89853.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia psychrerythraea ND2E","28229.4","JQED01000009","fig|28229.4.peg.1286","ND2E_2260",,"PATRIC.28229.4.JQED01000009.CDS.14379.15428.rev","PATRIC","CDS",14379,15428,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609","KGJ93531.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia psychrerythraea strain 38_32_sub10_T18","28229.6","MAAF01000096","fig|28229.6.peg.1064","A9Q75_15935",,"PATRIC.28229.6.MAAF01000096.CDS.27748.28797.fwd","PATRIC","CDS",27748,28797,1050,"+","FIG00152177","PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter psychrochitiniphilus strain GP3","291045.4","QHLZ01000013","fig|291045.4.peg.388","CVS29_15975",,"PATRIC.291045.4.QHLZ01000013.CDS.48324.49349.rev","PATRIC","CDS",48324,49349,1026,"-","FIG00152177","PLF_1663_00001215","PGF_00420609",,341,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Photobacterium profundum SS9","298386.8","NC_006370","fig|298386.8.peg.1591","PBPRA1462","VBIPhoPro109272_1591","PATRIC.298386.8.NC_006370.CDS.1653501.1654550.fwd","PATRIC","CDS",1653501,1654550,1050,"+","FIG00152177","PLF_657_00007664","PGF_00420609","YP_129675.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Photobacterium profundum 3TCK","314280.5","NZ_CH724135","fig|314280.5.peg.2478","P3TCK_18364","VBIPhoPro77067_2478","PATRIC.314280.5.NZ_CH724135.CDS.1107617.1108651.fwd","PATRIC","CDS",1107617,1108651,1035,"+","FIG00152177","PLF_657_00007664","PGF_00420609","ZP_01221857.1",344,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas sp. CNPT3","314282.5","NZ_CH902574","fig|314282.5.peg.1059","PCNPT3_07195","VBIPsySp112629_1059","PATRIC.314282.5.NZ_CH902574.CDS.1413848.1414897.rev","PATRIC","CDS",1413848,1414897,1050,"-","FIG00152177","PLF_67572_00000175","PGF_00420609","ZP_01216825.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychromonas ingrahamii 37","357804.7","NC_008709","fig|357804.7.peg.2195","Ping_1997","VBIPsyIng103130_2195","PATRIC.357804.7.NC_008709.CDS.2428581.2429630.fwd","PATRIC","CDS",2428581,2429630,1050,"+","FIG00152177","PLF_67572_00000175","PGF_00420609","YP_943361.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Shewanella sediminis HAW-EB3","425104.7","NC_009831","fig|425104.7.peg.1606","Ssed_1510","VBISheSed62411_1606","PATRIC.425104.7.NC_009831.CDS.1796891.1797823.fwd","PATRIC","CDS",1796891,1797823,933,"+","FIG00152177","PLF_22_00001537","PGF_00420609","YP_001473249.1",310,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Shewanella halifaxensis HAW-EB4","458817.8","NC_010334","fig|458817.8.peg.2964","Shal_2820","VBISheHal24697_2964","PATRIC.458817.8.NC_010334.CDS.3428767.3429816.rev","PATRIC","CDS",3428767,3429816,1050,"-","FIG00152177","PLF_22_00001537","PGF_00420609","YP_001675031.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia sp. MT41","58049.4","CP013145","fig|58049.4.peg.2247","CMT41_10385",,"PATRIC.58049.4.CP013145.CDS.2429689.2430738.rev","PATRIC","CDS",2429689,2430738,1050,"-","FIG00152177","PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Shewanella violacea DSS12","637905.5","NC_014012","fig|637905.5.peg.2934","SVI_3045","VBISheVio92117_2934","PATRIC.637905.5.NC_014012.CDS.3451812.3452861.rev","PATRIC","CDS",3451812,3452861,1050,"-","FIG00152177","PLF_22_00001537","PGF_00420609","YP_003557794.1",349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter alpinus strain ERGS4:06","656366.4","CP013200","fig|656366.4.peg.1804","AS189_08580",,"PATRIC.656366.4.CP013200.CDS.1945011.1946036.rev","PATRIC","CDS",1945011,1946036,1026,"-","FIG00152177","PLF_1663_00001215","PGF_00420609",,341,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3339","AKG98_3344",,"PATRIC.756698.3.LOCN01000006.CDS.34540.35589.fwd","PATRIC","CDS",34540,35589,1050,"+","FIG00152177","PLF_58050_00003222","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Colwellia demingiae strain ACAM 459","89401.3","VOLT01000001","fig|89401.3.peg.1296","ESZ36_01130",,"PATRIC.89401.3.VOLT01000001.CDS.247138.248187.rev","PATRIC","CDS",247138,248187,1050,"-",,"PLF_28228_00001465","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Arthrobacter psychrolactophilus strain B7","92442.6","QJVC01000013","fig|92442.6.peg.317","CVS30_12435",,"PATRIC.92442.6.QJVC01000013.CDS.41122.42147.fwd","PATRIC","CDS",41122,42147,1026,"+","FIG00152177","PLF_1663_00001215","PGF_00420609",,341,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
