Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000153","fig|2026735.148.peg.1865","DRH30_09015",,"PATRIC.2026735.148.QMMA01000153.CDS.2344.3375.rev","PATRIC","CDS",2344,3375,1032,"-","FIG00015100",,"PGF_00420953",,343,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000229","fig|2026735.148.peg.2437","DRH30_11705",,"PATRIC.2026735.148.QMMA01000229.CDS.1.960.fwd","PATRIC","CDS",1,960,960,"+","FIG00015100",,"PGF_00420953",,319,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Deltaproteobacteria bacterium strain B9_G4","2026735.148","QMMA01000298","fig|2026735.148.peg.2890","DRH30_13875",,"PATRIC.2026735.148.QMMA01000298.CDS.3956.4972.rev","PATRIC","CDS",3956,4972,1017,"-","FIG00152177",,,,338,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000008","fig|2026735.166.peg.325","DRH90_01455",,"PATRIC.2026735.166.QMMS01000008.CDS.12116.13123.fwd","PATRIC","CDS",12116,13123,1008,"+",,,"PGF_00420953",,335,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000025","fig|2026735.166.peg.848","DRH90_03805",,"PATRIC.2026735.166.QMMS01000025.CDS.7067.8080.rev","PATRIC","CDS",7067,8080,1014,"-",,,"PGF_00420953",,337,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000133","fig|2026735.166.peg.2696","DRH90_12000",,"PATRIC.2026735.166.QMMS01000133.CDS.9951.10991.fwd","PATRIC","CDS",9951,10991,1041,"+",,,"PGF_00420609",,346,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Deltaproteobacteria bacterium strain B30_G6","2026735.166","QMMS01000515","fig|2026735.166.peg.5267","DRH90_23005",,"PATRIC.2026735.166.QMMS01000515.CDS.1312.2319.fwd","PATRIC","CDS",1312,2319,1008,"+",,,"PGF_00420953",,335,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000006","fig|2026799.183.peg.457","DRP71_02100",,"PATRIC.2026799.183.QNAI01000006.CDS.13063.14091.fwd","PATRIC","CDS",13063,14091,1029,"+","FIG00152177",,"PGF_00420609",,342,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Verrucomicrobia bacterium strain B12_G4","2026799.183","QNAI01000071","fig|2026799.183.peg.2168","DRP71_10035",,"PATRIC.2026799.183.QNAI01000071.CDS.3223.4221.rev","PATRIC","CDS",3223,4221,999,"-","FIG00015100",,"PGF_00420953",,332,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000012","fig|2026809.16.peg.975","DRQ88_04835",,"PATRIC.2026809.16.QNFX01000012.CDS.44910.45902.rev","PATRIC","CDS",44910,45902,993,"-","FIG00015100",,"PGF_00420953",,330,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000049","fig|2026809.16.peg.2082","DRQ88_10340",,"PATRIC.2026809.16.QNFX01000049.CDS.9359.10471.fwd","PATRIC","CDS",9359,10471,1113,"+","FIG00015100",,"PGF_00420953",,370,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000054","fig|2026809.16.peg.2167","DRQ88_10755",,"PATRIC.2026809.16.QNFX01000054.CDS.4086.5117.fwd","PATRIC","CDS",4086,5117,1032,"+","FIG00152177",,"PGF_00420609",,343,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Epsilonproteobacteria bacterium strain B11_G4","2026809.16","QNFX01000055","fig|2026809.16.peg.2183","DRQ88_10835",,"PATRIC.2026809.16.QNFX01000055.CDS.1587.2669.fwd","PATRIC","CDS",1587,2669,1083,"+","FIG00015100",,"PGF_00420953",,360,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000012","fig|2268124.3.peg.4425","OZSIB_4323",,"PATRIC.2268124.3.QOQW01000012.CDS.147082.148101.rev","PATRIC","CDS",147082,148101,1020,"-","FIG00015100",,"PGF_00420953",,339,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Candidatus Riflebacteria bacterium BY5","2268124.3","QOQW01000016","fig|2268124.3.peg.401","OZSIB_0384",,"PATRIC.2268124.3.QOQW01000016.CDS.37434.38474.rev","PATRIC","CDS",37434,38474,1041,"-","FIG00152177",,"PGF_00420609",,346,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.1989","EBB79_09405",,"PATRIC.2483033.3.CP033219.CDS.1906578.1907549.rev","PATRIC","CDS",1906578,1907549,972,"-",,,"PGF_00420953",,323,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Sedimentitalea sp. W43","2483033.3","CP033219","fig|2483033.3.peg.4057","EBB79_18950",,"PATRIC.2483033.3.CP033219.CDS.3887863.3888915.rev","PATRIC","CDS",3887863,3888915,1053,"-",,,,,350,,"3-oxoacyl-(acyl carrier protein) synthase (EC 2.3.1.41)","GO:0004315|3-oxoacyl-[acyl-carrier-protein] synthase activity"
"Salinibacterium sp. UTAS2018","2508880.3","CP035375","fig|2508880.3.peg.322","ESZ53_01605",,"PATRIC.2508880.3.CP035375.CDS.345083.345952.rev","PATRIC","CDS",345083,345952,870,"-",,"PLF_235888_00000922","PGF_00420609",,289,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Salinibacterium sp. UTAS2018","2508880.3","CP035375","fig|2508880.3.peg.681","ESZ53_03405",,"PATRIC.2508880.3.CP035375.CDS.720055.721059.fwd","PATRIC","CDS",720055,721059,1005,"+",,"PLF_235888_00000092","PGF_00420953",,334,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000014","fig|254787.3.peg.2918","FQ154_13600",,"PATRIC.254787.3.VOBL01000014.CDS.106491.107546.rev","PATRIC","CDS",106491,107546,1056,"-",,,"PGF_00420953",,351,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Paeniglutamicibacter gangotriensis strain ANT_H27","254787.3","VOBL01000015","fig|254787.3.peg.2962","FQ154_13790",,"PATRIC.254787.3.VOBL01000015.CDS.26629.27654.fwd","PATRIC","CDS",26629,27654,1026,"+",,,"PGF_00420609",,341,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000052","fig|282669.3.peg.154",,,"PATRIC.282669.3.CZJV01000052.CDS.364.1431.fwd","PATRIC","CDS",364,1431,1068,"+","FIG00015100","PLF_497_00012359","PGF_00420953",,355,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Psychrobacter cibarius strain W1","282669.3","CZJV01000099","fig|282669.3.peg.967",,,"PATRIC.282669.3.CZJV01000099.CDS.52086.55223.rev","PATRIC","CDS",52086,55223,3138,"-","FIG00739596","PLF_497_00012364","PGF_01964713",,1045,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000125","fig|282669.3.peg.1589",,,"PATRIC.282669.3.CZJV01000125.CDS.7160.8524.rev","PATRIC","CDS",7160,8524,1365,"-","FIG00000004","PLF_497_00000119","PGF_02407790",,454,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9), FadA2","GO:0003988|acetyl-CoA C-acyltransferase activity;GO:0003985|acetyl-CoA C-acetyltransferase activity"
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.3093","Cagg_2987","VBIChlAgg85409_3093","PATRIC.326427.4.NC_011831.CDS.3660793.3661758.rev","PATRIC","CDS",3660793,3661758,966,"-","FIG00015100","PLF_1107_00002024","PGF_00420953","YP_002464283.1",321,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Chloroflexus aggregans DSM 9485","326427.4","NC_011831","fig|326427.4.peg.556","Cagg_0548","VBIChlAgg85409_0556","PATRIC.326427.4.NC_011831.CDS.666456.667475.rev","PATRIC","CDS",666456,667475,1020,"-","FIG00152177","PLF_1107_00002022","PGF_00420609","YP_002461923.1",339,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.2515","Isop_1971","VBIIsoPal14453_2515","PATRIC.575540.3.NC_014962.CDS.2871959.2873176.rev","PATRIC","CDS",2871959,2873176,1218,"-","FIG00015100",,"PGF_00420953","YP_004179100.1",405,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Isosphaera pallida ATCC 43644","575540.3","NC_014962","fig|575540.3.peg.2557","Isop_2005","VBIIsoPal14453_2557","PATRIC.575540.3.NC_014962.CDS.2929241.2930296.fwd","PATRIC","CDS",2929241,2930296,1056,"+","FIG00152177",,"PGF_00420609","YP_004179134.1",351,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Oleispira antarctica RB-8","698738.7","FO203512","fig|698738.7.peg.1802","OLEAN_C17400",,"PATRIC.698738.7.FO203512.CDS.1904330.1905217.rev","PATRIC","CDS",1904330,1905217,888,"-",,,"PGF_09596475",,295,,"hypothetical protein",
"Oleispira antarctica RB-8","698738.7","FO203512","fig|698738.7.peg.1803","OLEAN_C17410",,"PATRIC.698738.7.FO203512.CDS.1905217.1906254.rev","PATRIC","CDS",1905217,1906254,1038,"-",,"PLF_188907_00002354","PGF_08225224",,345,"fabH","hypothetical protein",
"Moritella sp. JT01","756698.3","LOCN01000001","fig|756698.3.peg.121","AKG98_111",,"PATRIC.756698.3.LOCN01000001.CDS.131399.132499.rev","PATRIC","CDS",131399,132499,1101,"-","FIG00015100","PLF_58050_00000337","PGF_00420953",,366,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)","GO:0033818|beta-ketoacyl-acyl-carrier-protein synthase III activity"
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3339","AKG98_3344",,"PATRIC.756698.3.LOCN01000006.CDS.34540.35589.fwd","PATRIC","CDS",34540,35589,1050,"+","FIG00152177","PLF_58050_00003222","PGF_00420609",,349,,"3-oxoacyl-[ACP] synthase III in alkane synthesis cluster",
"Moritella sp. JT01","756698.3","LOCN01000024","fig|756698.3.peg.1926","AKG98_1919",,"PATRIC.756698.3.LOCN01000024.CDS.59474.60754.fwd","PATRIC","CDS",59474,60754,1281,"+","FIG00000004","PLF_58050_00000331","PGF_02407790",,426,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9), FadA2","GO:0003988|acetyl-CoA C-acyltransferase activity;GO:0003985|acetyl-CoA C-acetyltransferase activity"
