Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Psychromonas sp. PRT-SC03","1527299.3","JPUQ01000200","fig|1527299.3.peg.992","JI57_04750",,"PATRIC.1527299.3.JPUQ01000200.CDS.8503.10182.rev","PATRIC","CDS",8503,10182,1680,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,559,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Desulfatitalea sp. BRH_c12","1629708.9","LADR01000089","fig|1629708.9.peg.5522","VR64_25020",,"PATRIC.1629708.9.LADR01000089.CDS.61149.62843.fwd","PATRIC","CDS",61149,62843,1695,"+",,,"PGF_00013971",,564,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Desulfobulbaceae bacterium BRH_c16a","1629713.5","LADS01000029","fig|1629713.5.peg.4851","VR65_10450",,"PATRIC.1629713.5.LADS01000029.CDS.113472.115100.fwd","PATRIC","CDS",113472,115100,1629,"+",,,"PGF_00013971",,542,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Opitutaceae bacterium BACL24 MAG-120322-bin51","1655636.4","LIDO01000197","fig|1655636.4.peg.2270","ABS34_10350",,"PATRIC.1655636.4.LIDO01000197.CDS.2.1333.fwd","PATRIC","CDS",2,1333,1332,"+",,,"PGF_00013971",,443,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia psychrerythraea 34H","167879.5","NC_003910","fig|167879.5.peg.1955","CPS_2155","VBIColPsy94388_1955","PATRIC.167879.5.NC_003910.CDS.2261258.2263054.fwd","PATRIC","CDS",2261258,2263054,1797,"+","FIG00023355","PLF_28228_00001522","PGF_00013971","YP_268880.1",598,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter sp. ERGS1:01","1704044.3","CP012479","fig|1704044.3.peg.2282","AL755_14780",,"PATRIC.1704044.3.CP012479.CDS.2399541.2402246.fwd","PATRIC","CDS",2399541,2402246,2706,"+","FIG00739596","PLF_1663_00001069","PGF_01964713",,901,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia sp. MT2012","1718921.3","LJVG01000038","fig|1718921.3.peg.2391",,,"PATRIC.1718921.3.LJVG01000038.CDS.246963.248708.rev","PATRIC","CDS",246963,248708,1746,"-","FIG00023355","PLF_28228_00001522","PGF_00013971",,581,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia sp. TT2012","1720342.3","LJYX01000016","fig|1720342.3.peg.3502",,,"PATRIC.1720342.3.LJYX01000016.CDS.22900.24645.rev","PATRIC","CDS",22900,24645,1746,"-","FIG00023355","PLF_28228_00001522","PGF_00013971",,581,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Desulfotalea psychrophila LSv54","177439.6","NC_006138","fig|177439.6.peg.2862","DP2631","VBIDesPsy67261_2862","PATRIC.177439.6.NC_006138.CDS.2992150.2993775.rev","PATRIC","CDS",2992150,2993775,1626,"-","FIG00023355",,"PGF_00013971","YP_066367.1",541,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Proteobacteria bacterium SPGG4","1842524.5","LXTI01000087","fig|1842524.5.peg.1114",,,"PATRIC.1842524.5.LXTI01000087.CDS.1261.2928.fwd","PATRIC","CDS",1261,2928,1668,"+",,,"PGF_00013971",,556,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Shewanella sp. SACH","1873135.3","MPDG01000002","fig|1873135.3.peg.1402","BM607_06610",,"PATRIC.1873135.3.MPDG01000002.CDS.417888.419762.rev","PATRIC","CDS",417888,419762,1875,"-","FIG00023355","PLF_22_00000124","PGF_00013971",,624,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. CD1","1979839.3","NDFH01000003","fig|1979839.3.peg.711",,,"PATRIC.1979839.3.NDFH01000003.CDS.449251.450930.rev","PATRIC","CDS",449251,450930,1680,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,559,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. psych-6C06","2058089.3","PIZM01000001","fig|2058089.3.peg.603","CW745_02970",,"PATRIC.2058089.3.PIZM01000001.CDS.673509.675185.rev","PATRIC","CDS",673509,675185,1677,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,558,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. MB-3u-54","2058319.3","PJBP01000181","fig|2058319.3.peg.637","CXF72_17570",,"PATRIC.2058319.3.PJBP01000181.CDS.73272.74924.fwd","PATRIC","CDS",73272,74924,1653,"+","FIG00023355","PLF_67572_00000391","PGF_00013971",,550,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. Urea-02u-13","2058326.3","PJBZ01000049","fig|2058326.3.peg.1814","CXF74_07410",,"PATRIC.2058326.3.PJBZ01000049.CDS.1219.2895.rev","PATRIC","CDS",1219,2895,1677,"-","FIG00023355","PLF_67572_00000391","PGF_00013971",,558,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter sp. I3","218158.3","AZSB01000482","fig|218158.3.peg.3895",,"VBIArtSp13275_3895","PATRIC.218158.3.AZSB01000482.CDS.11330.13306.rev","PATRIC","CDS",11330,13306,1977,"-","FIG00739596","PLF_1663_00001069","PGF_01964713",,658,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Shewanella psychrophila strain WP2","225848.8","CP014782","fig|225848.8.peg.1996","Sps_01975",,"PATRIC.225848.8.CP014782.CDS.2222303.2224066.rev","PATRIC","CDS",2222303,2224066,1764,"-","FIG00023355","PLF_22_00000124","PGF_00013971",,587,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. B3M02","2267226.3","QOCB01000032","fig|2267226.3.peg.1937","DS885_04545",,"PATRIC.2267226.3.QOCB01000032.CDS.39752.41449.fwd","PATRIC","CDS",39752,41449,1698,"+","FIG00023355","PLF_67572_00000391","PGF_00013971",,565,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. RZ5","2555642.3","SNUB01000001","fig|2555642.3.peg.142","E2R67_00695",,"PATRIC.2555642.3.SNUB01000001.CDS.150566.152320.fwd","PATRIC","CDS",150566,152320,1755,"+",,"PLF_67572_00000391","PGF_00013971",,584,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. RZ22","2555643.3","SNUW01000005","fig|2555643.3.peg.1632","E2R68_05330",,"PATRIC.2555643.3.SNUW01000005.CDS.28315.29988.rev","PATRIC","CDS",28315,29988,1674,"-",,"PLF_67572_00000391","PGF_00013971",,557,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. L1A2","2686356.3","WUAG01000001","fig|2686356.3.peg.1866",,,"PATRIC.2686356.3.WUAG01000001.CDS.2137932.2139641.fwd","PATRIC","CDS",2137932,2139641,1710,"+",,"PLF_67572_00000391","PGF_00013971",,569,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia psychrerythraea strain Glo_19","28229.11","PIWA01000099","fig|28229.11.peg.6376",,,"PATRIC.28229.11.PIWA01000099.CDS.876.2666.rev","PATRIC","CDS",876,2666,1791,"-","FIG00023355","PLF_28228_00001522","PGF_00013971",,596,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia psychrerythraea GAB14E","28229.3","JQEC01000051","fig|28229.3.peg.3651","GAB14E_3729",,"PATRIC.28229.3.JQEC01000051.CDS.18568.20325.rev","PATRIC","CDS",18568,20325,1758,"-","FIG00023355","PLF_28228_00001522","PGF_00013971","KGJ89851.1",585,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia psychrerythraea ND2E","28229.4","JQED01000009","fig|28229.4.peg.1284","ND2E_2258",,"PATRIC.28229.4.JQED01000009.CDS.11629.13410.rev","PATRIC","CDS",11629,13410,1782,"-","FIG00023355","PLF_28228_00001522","PGF_00013971","KGJ93529.1",593,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia psychrerythraea strain 38_32_sub10_T18","28229.6","MAAF01000096","fig|28229.6.peg.1066","A9Q75_15945",,"PATRIC.28229.6.MAAF01000096.CDS.29815.31626.fwd","PATRIC","CDS",29815,31626,1812,"+","FIG00023355","PLF_28228_00001522","PGF_00013971",,603,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychrobacter cibarius strain W1","282669.3","CZJV01000099","fig|282669.3.peg.967",,,"PATRIC.282669.3.CZJV01000099.CDS.52086.55223.rev","PATRIC","CDS",52086,55223,3138,"-","FIG00739596","PLF_497_00012364","PGF_01964713",,1045,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Arthrobacter psychrochitiniphilus strain GP3","291045.4","QHLZ01000013","fig|291045.4.peg.387","CVS29_15970",,"PATRIC.291045.4.QHLZ01000013.CDS.45649.48330.rev","PATRIC","CDS",45649,48330,2682,"-","FIG00739596","PLF_1663_00001069","PGF_01964713",,893,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Photobacterium profundum SS9","298386.8","NC_006370","fig|298386.8.peg.1593","PBPRA1464","VBIPhoPro109272_1593","PATRIC.298386.8.NC_006370.CDS.1655573.1657327.fwd","PATRIC","CDS",1655573,1657327,1755,"+","FIG00023355","PLF_657_00007489","PGF_00013971","YP_129677.1",584,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Photobacterium profundum 3TCK","314280.5","NZ_CH724135","fig|314280.5.peg.2480","P3TCK_18374","VBIPhoPro77067_2480","PATRIC.314280.5.NZ_CH724135.CDS.1109717.1111543.fwd","PATRIC","CDS",1109717,1111543,1827,"+","FIG00023355","PLF_657_00007489","PGF_00013971","ZP_01221859.1",608,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas sp. CNPT3","314282.5","NZ_CH902574","fig|314282.5.peg.1057","PCNPT3_07185","VBIPsySp112629_1057","PATRIC.314282.5.NZ_CH902574.CDS.1411269.1412909.rev","PATRIC","CDS",1411269,1412909,1641,"-","FIG00023355","PLF_67572_00000391","PGF_00013971","ZP_01216823.1",546,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Psychromonas ingrahamii 37","357804.7","NC_008709","fig|357804.7.peg.2197","Ping_1999","VBIPsyIng103130_2197","PATRIC.357804.7.NC_008709.CDS.2430517.2432181.fwd","PATRIC","CDS",2430517,2432181,1665,"+","FIG00023355","PLF_67572_00000391","PGF_00013971","YP_943363.1",554,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Cryobacterium psychrophilum strain CGMCC 1.4292","41988.4","SOHQ01000031","fig|41988.4.peg.953","E3T53_11955",,"PATRIC.41988.4.SOHQ01000031.CDS.163693.166440.fwd","PATRIC","CDS",163693,166440,2748,"+",,"PLF_69578_00001533","PGF_01964713",,915,,"Haloalkane dehalogenase-like protein / AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Shewanella sediminis HAW-EB3","425104.7","NC_009831","fig|425104.7.peg.1608","Ssed_1512","VBISheSed62411_1608","PATRIC.425104.7.NC_009831.CDS.1798971.1800728.fwd","PATRIC","CDS",1798971,1800728,1758,"+","FIG00023355","PLF_22_00000124","PGF_00013971","YP_001473251.1",585,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Shewanella halifaxensis HAW-EB4","458817.8","NC_010334","fig|458817.8.peg.2962","Shal_2818","VBISheHal24697_2962","PATRIC.458817.8.NC_010334.CDS.3426005.3427726.rev","PATRIC","CDS",3426005,3427726,1722,"-","FIG00023355","PLF_22_00000124","PGF_00013971","YP_001675029.1",573,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia sp. MT41","58049.4","CP013145","fig|58049.4.peg.2245","CMT41_10375",,"PATRIC.58049.4.CP013145.CDS.2426969.2428714.rev","PATRIC","CDS",2426969,2428714,1746,"-","FIG00023355","PLF_28228_00001522","PGF_00013971",,581,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Shewanella violacea DSS12","637905.5","NC_014012","fig|637905.5.peg.2932","SVI_3043","VBISheVio92117_2932","PATRIC.637905.5.NC_014012.CDS.3448944.3450557.rev","PATRIC","CDS",3448944,3450557,1614,"-","FIG00023355","PLF_22_00000124","PGF_00013971","YP_003557792.1",537,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Oleispira antarctica RB-8","698738.7","FO203512","fig|698738.7.peg.1807","OLEAN_C17450",,"PATRIC.698738.7.FO203512.CDS.1909164.1910828.rev","PATRIC","CDS",1909164,1910828,1665,"-",,"PLF_188907_00002669","PGF_00013971",,554,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Moritella sp. JT01","756698.3","LOCN01000006","fig|756698.3.peg.3341","AKG98_3346",,"PATRIC.756698.3.LOCN01000006.CDS.36478.38214.fwd","PATRIC","CDS",36478,38214,1737,"+","FIG00023355","PLF_58050_00003238","PGF_00013971",,578,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
"Colwellia demingiae strain ACAM 459","89401.3","VOLT01000001","fig|89401.3.peg.1294","ESZ36_01120",,"PATRIC.89401.3.VOLT01000001.CDS.244391.246163.rev","PATRIC","CDS",244391,246163,1773,"-",,"PLF_28228_00001522","PGF_00013971",,590,,"AMP-dependent synthetase/ligase in alkane synthesis cluster",
