Genome,Genome ID,PATRIC ID,RefSeq Locus Tag,Gene,Product,Length (NT),Length (AA),ALN Length,Identity,Query cover,Subject cover,Hit from,Hit to,Score,E value
Candidatus Riflebacteria bacterium BY5,2268124.3,fig|2268124.3.peg.402,OZSIB_0385,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB / omega-3 polyunsaturated fatty acid synthase subunit, PfaC",8067,2688,2688,35,18,17,21,476,251,5e-66
Moritella sp. JT01,756698.3,fig|756698.3.peg.1937,AKG98_1930,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaC",5880,1959,1959,35,18,23,4,451,248,4e-65
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.2695,DRH90_11995,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB / omega-3 polyunsaturated fatty acid synthase subunit, PfaC",7164,2387,2387,35,18,19,22,472,245,4e-64
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.1786,,,"Polyketide synthase modules and related proteins",4548,1515,1515,36,18,28,17,443,240,6e-63
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.1351,,,"Polyketide synthase modules and related proteins",13926,4641,4641,32,18,9,403,835,241,8e-63
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.1343,,,"Modular polyketide synthase",6303,2100,2100,33,18,21,675,1115,228,3e-59
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.4618,CEN39_01920,,"Polyketide synthase modules and related proteins",1632,544,544,30,20,88,3,481,219,3e-59
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2954,CEN39_11080,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",2472,823,823,27,30,93,56,818,211,4e-55
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.6710,CEN39_03090,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB",3222,1073,1073,23,36,80,3,864,193,8e-49
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2076,CEN39_07765,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaA",1176,391,391,35,15,91,32,387,182,4e-48
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.2556,Isop_2004,,"omega-3 polyunsaturated fatty acid synthase subunit, PfaB / omega-3 polyunsaturated fatty acid synthase subunit, PfaC",7122,2373,2373,41,10,11,231,499,182,4e-45
Epsilonproteobacteria bacterium strain B11_G4,2026809.16,fig|2026809.16.peg.2010,DRQ88_09980,fabF,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1251,416,416,29,18,98,6,414,160,1e-40
Janthinobacterium sp. CG3,1075768.5,fig|1075768.5.peg.1350,,,"Polyketide synthase modules and related proteins",3153,1050,1050,28,18,38,589,987,165,2e-40
Desulfobulbaceae bacterium BRH_c16a,1629713.5,fig|1629713.5.peg.1840,VR65_07835,,"Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)",951,316,316,34,12,90,2,286,141,5e-35
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.596,,,"Polyketide synthase modules and related proteins",1077,359,359,29,15,99,3,357,142,5e-35
Fischerella thermalis CCMEE 5201,2019672.3,fig|2019672.3.peg.2699,,,"Polyketide synthase modules and related proteins",1071,357,357,29,15,97,9,355,140,2e-34
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.1768,Cagg_1713,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1242,413,413,31,16,92,31,411,136,1e-32
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.3025,DP2788,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1245,414,414,27,17,95,20,411,135,2e-32
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.695,Isop_0517,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1290,429,429,28,15,82,77,427,134,6e-32
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.1577,Isop_1237,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1248,415,415,31,11,67,135,413,134,7e-32
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.1565,DRH90_07045,fabD,"Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)",939,312,312,31,12,91,3,287,130,2e-31
Deltaproteobacteria bacterium strain B30_G6,2026735.166,fig|2026735.166.peg.581,DRH90_02615,fabF,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1242,413,413,33,11,67,135,411,131,3e-31
Rhodonellum psychrophilum DSM 17998 strain GCM71,1123057.7,fig|1123057.7.peg.3365,P872_19230,,"Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)",912,303,303,31,12,95,6,292,129,3e-31
Chloroflexus aggregans DSM 9485,326427.4,fig|326427.4.peg.2680,Cagg_2588,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1416,471,471,32,11,59,192,469,130,1e-30
Desulfotalea psychrophila LSv54,177439.6,fig|177439.6.peg.2778,DP2550,,"Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)",948,315,315,33,12,91,2,289,126,6e-30
Desulfobulbaceae bacterium BRH_c16a,1629713.5,fig|1629713.5.peg.1671,VR65_27575,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1242,413,413,25,18,98,5,410,126,1e-29
Vulcaniibacterium thermophilum strain KCTC 32020,1169913.3,fig|1169913.3.peg.203,,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1239,412,412,31,10,60,136,382,126,2e-29
Salinibacterium sp. UTAS2018,2508880.3,fig|2508880.3.peg.683,ESZ53_03415,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1236,411,411,30,14,81,72,403,125,3e-29
Alicyclobacillus kakegawensis NBRC 103104,1220571.3,fig|1220571.3.peg.748,,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1239,412,412,32,11,67,134,411,124,7e-29
Isosphaera pallida ATCC 43644,575540.3,fig|575540.3.peg.1218,Isop_0947,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1284,427,427,30,14,79,86,423,124,7e-29
Moritella sp. JT01,756698.3,fig|756698.3.peg.2115,AKG98_2104,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",1245,414,414,32,11,67,137,412,124,1e-28
